traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
徹,彻,chè,che4,che,4,trhjet,trh-,-jet,ru,ʈʰjet⁴,*tʰret,penetrate,0286c,"20844,07",60,12,U+5FB9
瞋,瞋,chēn,chen1,chen,1,tsyhin,tsyh-,-in,ping,ʨʰin¹,*tʰi[n],glare (v.),0375g,"42505,12",109,10,U+778B
沈,沈,chén,chen2,chen,2,drim,dr-,-im,ping,ɖim¹,*C.[d]r[ə]m (~ *m-lr[ə]m),sink (v.t.),0656b,"31572,07",85,4,U+6C88
沈,沈,chén,chen2,chen,2,drim,dr-,-im,ping,ɖim¹,*[d]r[ə]m (~ *m-lr[ə]m),sink (v.i.),0656b,"31572,07",85,4,U+6C88
沈,沈,chén,chen2,chen,2,drim,dr-,-im,ping,ɖim¹,*[d]r[ə]m,sacrifice in which gifts are sunk in water,0656b,"31572,07",85,4,U+6C88
沈,沈,chén,chen2,chen,2,drimH,dr-,-im,qu,ɖim³,*[d]r[ə]m-s,sacrifice in which gifts are sunk in water,0656b,"31572,07",85,4,U+6C88
塵,尘,chén,chen2,chen,2,drin,dr-,-in,ping,ɖin¹,*[d]rə[n],dust (n.),0374a,"10482,03",32,11,U+5875
陳,陈,chén,chen2,chen,2,drin,dr-,-in,ping,ɖin¹,*lri[n],arrange,0373a,"64136,01",170,8,U+9673
煁,煁,chén,chen2,chen,2,dzyim,dzy-,-im,ping,ʥim¹,*[d][ə]m,small furnace,0658b,"32214,03",86,9,U+7141
忱,忱,chén,chen2,chen,2,dzyim,dzy-,-im,ping,ʥim¹,*[t.ɢ][u]m,sincere,0656h,"42278,08",61,4,U+5FF1
諶,谌,chén,chen2,chen,2,dzyim,dzy-,-im,ping,ʥim¹,*[t.ɢ][u]m,"reliable, to trust",0658c,"63994,02",149,9,U+8AF6
辰,辰,chén,chen2,chen,2,dzyin,dzy-,-in,ping,ʥin¹,*[d]ər,5th earthly branch,0455a,"63606,01",161,0,U+8FB0
晨,晨,chén,chen2,chen,2,dzyin,dzy-,-in,ping,ʥin¹,*[d]ər,early,0455h,"21512,03",72,7,U+6668
臣,臣,chén,chen2,chen,2,dzyin,dzy-,-in,ping,ʥin¹,*[g]i[ŋ],"slave, subject",0377a,"42801,01",131,0,U+81E3
晨,晨,chén,chen2,chen,2,zyin,zy-,-in,ping,ʑin¹,*sə-[d]ər,part of Scorpio; morning,0455h,"21512,03",72,7,U+6668
瞠,瞠,chēng,cheng1,cheng,1,trhaeng,trh-,-aeng,ping,ʈʰæŋ¹,*tʰˤraŋ,stare,0725f',"42510,07",109,11,U+77A0
赬,赬,chēng,cheng1,cheng,1,trhjeng,trh-,-jeng,ping,ʈʰjeŋ¹,*[t.kʰ]reŋ,red,0834m,"53509,06",155,9,U+8D6C
