traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
屋,屋,wū,wu1,wu,1,'uwk,'-,-uwk,ru,ʔuwk⁴,*qˤok (or *ʔˤok ?),house; roof,1204a,"20972,01",44,6,U+5C4B
巫,巫,wū,wu1,wu,1,mju,m-,-ju,ping,mju¹,*C.m(r)[o],magician,0105a,"10412,08",48,4,U+5DEB
誣,诬,wū,wu1,wu,1,mju,m-,-ju,ping,mju¹,*[m](r)[o],deceive,0105b,"63974,03",149,7,U+8AA3
蕪,芜,wú,wu2,wu,2,mju,m-,-ju,ping,mju¹,*m(r)a,overgrown with weeds,0103l,"53291,08",140,12,U+856A
無,无,wú,wu2,wu,2,mju,m-,-ju,ping,mju¹,*ma,not have,0103a,"32211,15",86,8,U+7121
無,无,wú,wu2,wu,2,mju,m-,-ju,ping,mju¹,*ma,volitional prefix,0103a,"32211,15",86,8,U+7121
无,无,wú,wu2,wu,2,mju,m-,-ju,ping,mju¹,*ma,not have,0106a,"21147,12",71,0,U+65E0
無,无,wú,wu2,wu,2,mju,m-,-ju,ping,mju¹,*mo,don’t,0103a,"32211,15",86,8,U+7121
毋,毋,wú,wu2,wu,2,mju,m-,-ju,ping,mju¹,*mo,don't,0107a,"42380,01",80,0,U+6BCB
吳,吴,wú,wu2,wu,2,ngu,ng-,-u,ping,ŋu¹,*ŋʷˤa,shout; name of a state,0059a,"10595,08",30,4,U+5433
吾,吾,wú,wu2,wu,2,ngu,ng-,-u,ping,ŋu¹,*ŋˤa,"I, my",0058f,"10585,13",30,4,U+543E
舞,舞,wǔ,wu3,wu,3,mjuX,m-,-ju,shang,mju²,*k.m(r)aʔ,dance (v.),0103g,"20865,1",136,8,U+821E
儛,儛,wǔ,wu3,wu,3,mjuX,m-,-ju,shang,mju²,*k.m(r)aʔ,dance (v.),0103h,"10231,03",9,14,U+511B
武,武,wǔ,wu3,wu,3,mjuX,m-,-ju,shang,mju²,*m(r)aʔ,military,0104a,"21439,05",77,4,U+6B66
侮,侮,wǔ,wu3,wu,3,mjuX,m-,-ju,shang,mju²,*m(r)oʔ,insult (v.),0138a,"10163,01",9,7,U+4FAE
五,五,wǔ,wu3,wu,3,nguX,ng-,-u,shang,ŋu²,*C.ŋˤaʔ,five,0058a,"10011,03",7,2,U+4E94
伍,伍,wǔ,wu3,wu,3,nguX,ng-,-u,shang,ŋu²,*C.ŋˤaʔ,group of five,0058e,"10118,01",9,4,U+4F0D
午,午,wǔ,wu3,wu,3,nguX,ng-,-u,shang,ŋu²,*[m].qʰˤaʔ,7th earthly branch,0060a,"10406,01",24,2,U+5348
午,午,wǔ,wu3,wu,3,nguX,ng-,-u,shang,ŋu²,*m-qʰˤaʔ,resist; cross-wise,0060a,"10406,01",24,2,U+5348
惡,恶,wù,wu1,wu,1,'uH,'-,-u,qu,ʔu³,*ʔˤak-s,hate (v.),0805h,"42307,12",61,8,U+60E1
霧,雾,wù,wu1,wu,1,mjuH,m-,-ju,qu,mju³,*kə.m(r)[o]k-s,"fog, mist",1109t,"64074,15",173,11,U+9727
務,务,wù,wu1,wu,1,mjuH,m-,-ju,qu,mju³,*m(r)o-s,exert oneself,1109j,"42765,09",19,9,U+52D9
物,物,wù,wu1,wu,1,mjut,m-,-jut,ru,mjut⁴,*C.mut,thing,0503h,"31805,03",93,4,U+7269
勿,勿,wù,wu1,wu,1,mjut,m-,-jut,ru,mjut⁴,*mut,don't,0503a,"10255,02",20,2,U+52FF
勿,勿,wù,wu1,wu,1,mjut,m-,-jut,ru,mjut⁴,*mut,not ... it,0503a,"10255,02",20,2,U+52FF
戊,戊,wù,wu1,wu,1,muwH,m-,-uw,qu,muw³,*m(r)uʔ-s (~ *m(r)uʔ),5th heavenly stem,1231a,"21397,04",62,1,U+620A
誤,误,wù,wu1,wu,1,nguH,ng-,-u,qu,ŋu³,*ŋʷˤa-s,deceive; mistake,0059d,"63976,03",149,7,U+8AA4
悟,悟,wù,wu1,wu,1,nguH,ng-,-u,qu,ŋu³,*ŋˤa-s,"awake, realize",0058j,"42303,04",61,7,U+609F
寤,寤,wù,wu1,wu,1,nguH,ng-,-u,qu,ŋu³,*ŋˤa-s,awake,0058n,"20950,03",40,11,U+5BE4
晤,晤,wù,wu1,wu,1,nguH,ng-,-u,qu,ŋu³,*ŋˤak-s,go to meet,0058l,"21511,07",72,7,U+6664
啎,啎,wù,wu1,wu,1,nguH,ng-,-u,qu,ŋu³,*ŋˤak-s,go against; oppose,0058o,"10641,12",30,8,U+554E
遻,遻,wù,wu1,wu,1,nguH,ng-,-u,qu,ŋu³,*ŋˤak-s,meet unexpectedly,0788j,"63883,01",162,12,U+907B
兀,兀,wù,wu1,wu,1,ngwot,ng-,-wot,ru,ŋwot⁴,*[ŋ]ˤut,amputate the feet,0487a,"10264,05",10,1,U+5140
奚,奚,xī,xi1,xi,1,hej,h-,-ej,ping,ɣej¹,*[g]ˤe (dial. for 何 *[g]ˤaj?),"why, what",0876d,"10541,11",37,7,U+595A
奚,奚,xī,xi1,xi,1,hej,h-,-ej,ping,ɣej¹,*[g]ˤe,"slave, servant",0876d,"10541,11",37,7,U+595A
蹊,蹊,xī,xi1,xi,1,hej,h-,-ej,ping,ɣej¹,*[g]ˤe,foot-path,0876l,"63729,08",157,10,U+8E4A
兮,兮,xī,xi1,xi,1,hej,h-,-ej,ping,ɣej¹,*gˤe,(final particle),1241d,"10241,06",12,2,U+516E
溪,溪,xī,xi1,xi,1,khej,kh-,-ej,ping,kʰej¹,*kʰˤe,valley with stream in it,0876q,"31702,09",85,10,U+6EAA
谿,谿,xī,xi1,xi,1,khej,kh-,-ej,ping,kʰej¹,*kʰˤe,valley with stream in it,0876q,"63905,08",150,10,U+8C3F
屖,屖,xī,xi1,xi,1,sej,s-,-ej,ping,sej¹,*s-lˤəj,to tarry,0595a,"20976,05",44,7,U+5C56
西,西,xī,xi1,xi,1,sej,s-,-ej,ping,sej¹,*s-nˤər,west,0594a,"42805,02",146,0,U+897F
犀,犀,xī,xi1,xi,1,sej,s-,-ej,ping,sej¹,*s.lˤəj,rhinoceros,0596a,"31815,01",93,8,U+7280
析,析,xī,xi1,xi,1,sek,s-,-ek,ru,sek⁴,*[s]ˤek,split (v.),0857a,"21171,06",75,4,U+6790
晳,晳,xī,xi1,xi,1,sek,s-,-ek,ru,sek⁴,*[s]ˤek,"white, bright",0857c,"21517,09",72,8,U+6673
錫,锡,xī,xi1,xi,1,sek,s-,-ek,ru,sek⁴,*s-lˤek,give,0850n,"64219,03",167,8,U+932B
錫,锡,xī,xi1,xi,1,sek,s-,-ek,ru,sek⁴,*s.lˤek,tin,0850n,"64219,03",167,8,U+932B
息,息,xī,xi1,xi,1,sik,s-,-ik,ru,sik⁴,*sək,breathe,0925a,"42291,04",61,6,U+606F
息,息,xī,xi1,xi,1,sik,s-,-ik,ru,sik⁴,*sək,"安息 Ānxī (Iranian country in the western regions, W. Hàn; from Aršaka = Arsaces, founder of the Arsacid dynasty)",0925a,"42291,04",61,6,U+606F
熄,熄,xī,xi1,xi,1,sik,s-,-ik,ru,sik⁴,*sək,extinguish,0925b,"32223,13",86,10,U+7184
悉,悉,xī,xi1,xi,1,sit,s-,-it,ru,sit⁴,*[s]i[t],completely,1257e,"42301,07",61,7,U+6089
膝,膝,xī,xi1,xi,1,sit,s-,-it,ru,sit⁴,*s-tsik,knee,0401c,"32106,11",130,11,U+819D
昔,昔,xī,xi1,xi,1,sjek,s-,-jek,ru,sjek⁴,*[s]Ak,in the past,0798a,"21488,11",72,4,U+6614
惜,惜,xī,xi1,xi,1,sjek,s-,-jek,ru,sjek⁴,*[s]Ak,regret; alas,0798f,"42313,09",61,8,U+60DC
蟋,蟋,xī,xi1,xi,1,srit,sr-,-it,ru,ʂit⁴,*srit,蟋蟀 cricket,1257f,"42886,07",142,11,U+87CB
熹,熹,xī,xi1,xi,1,xi,x-,-i,ping,xi¹,*qʰ(r)ə,shine,0955k,"32239,05",86,12,U+71B9
熙,熙,xī,xi1,xi,1,xi,x-,-i,ping,xi¹,*qʰ(r)ə,splendor,0960j,"32226,06",86,10,U+7199
噏,噏,xī,xi1,xi,1,xip,x-,-ip,ru,xip⁴,*qʰ(r)[ə]p,"draw together (Laozi, one version)",0675r,"10685,07",30,12,U+564F
歙,歙,xī,xi1,xi,1,xip,x-,-ip,ru,xip⁴,*qʰ(r)[ə]p,contract (v.),0675s,"32151,11",76,12,U+6B59
吸,吸,xī,xi1,xi,1,xip,x-,-ip,ru,xip⁴,*qʰ(r)əp,inhale,0681j,"10594,01",30,4,U+5438
希,希,xī,xi1,xi,1,xj+j,x-,-j+j,ping,xjɨj¹,*qʰəj,"thin, sparse",0549a,"10731,19",50,4,U+5E0C
豨,豨,xī,xi1,xi,1,xj+j,x-,-j+j,ping,xjɨj¹,*qʰəj,swine,0549f,"63615,09",152,7,U+8C68
犧,牺,xī,xi1,xi,1,xje,x-,-je,ping,xje¹,*ŋ̊(r)a[j],sacrificial animal,0002z,"31822,04",93,16,U+72A7
羲,羲,xī,xi1,xi,1,xje,x-,-je,ping,xje¹,*ŋ̊(r)aj,(proper name),0002y,"53137,13",123,10,U+7FB2
䖒,䖒,xī,xi1,xi,1,xje,x-,-je,ping,xje¹,*ŋ̊(r)ar,earthenware vessel (Shuōwén),0022a,"42827,01",141,7,U+4592
屎,屎,xī,xi1,xi,1,xjij,x-,-jij,ping,xjij¹,"*[qʰ]ij (dialect: *qʰ- > *x-, no palatalization)",moan,0561d,"20973,06",44,6,U+5C4E
觿,觿,xī,xi1,xi,1,xjwie,x-,-jwie,ping,xjie¹,*qʷʰe,spike of horn or bone for opening knots,0880e,"63935,04",148,18,U+89FF
夕,夕,xī,xi1,xi,1,zjek,z-,-jek,ru,zjek⁴,*s-ɢAk,"evening, night",0796a,"20859,01",36,0,U+5915
騱,騱,xí,xi2,xi,2,hej,h-,-ej,ping,ɣej¹,*gˤe,驒騱 diānxí a kind of wild horse,0876-,"74571,02",187,10,U+9A31
隰,隰,xí,xi2,xi,2,zip,z-,-ip,ru,zip⁴,*s-N-qip,"low, wet ground",0692b,"64162,06",170,14,U+96B0
習,习,xí,xi2,xi,2,zip,z-,-ip,ru,zip⁴,*s-ɢʷəp (with root *ɢʷəp ‘wing’?),repeat; practice,0690a,"53345,01",124,5,U+7FD2
襲,袭,xí,xi2,xi,2,zip,z-,-ip,ru,zip⁴,*sə-l[ə]p,repeat; additional robe,0689a,"53121,02",145,16,U+8972
襲,袭,xí,xi2,xi,2,zip,z-,-ip,ru,zip⁴,*sə.l[ə]p,surprise attack,0689a,"53121,02",145,16,U+8972
席,席,xí,xi2,xi,2,zjek,z-,-jek,ru,zjek⁴,*s-m-tAk,mat,0797a,"10741,04",50,7,U+5E2D
洗,洗,xǐ,xi3,xi,3,sejX,s-,-ej,shang,sej²,*[s]ˤərʔ,wash,0478j,"31608,08",85,6,U+6D17
洒,洒,xǐ,xi3,xi,3,sejX,s-,-ej,shang,sej²,*[s]ˤərʔ,wash,0594g,"31603,05",85,6,U+6D12
枲,枲,xǐ,xi3,xi,3,siX,s-,-i,shang,si²,*s.ləʔ,hemp,0976d',"21191,07",75,5,U+67B2
徙,徙,xǐ,xi3,xi,3,sjeX,s-,-je,shang,sje²,*[s]ajʔ,move (to),0871a,"20827,12",60,8,U+5F99
璽,玺,xǐ,xi3,xi,3,sjeX,s-,-je,shang,sje²,*s.[n]e[r]ʔ,seal (n.),0359j,"21144,05",96,14,U+74BD
灑,灑,xǐ,xi3,xi,3,srjeX,sr-,-je,shang,ʂje²,*Cə.s<r>ərʔ,sprinkle (v.),0878i,"31794,07",85,19,U+7051
纚,纚,xǐ,xi3,xi,3,srjeX,sr-,-je,shang,ʂje²,*sreʔ,hair-band,0878g,"53471,03",120,19,U+7E9A
喜,喜,xǐ,xi3,xi,3,xiX,x-,-i,shang,xi²,*qʰ(r)əʔ,joy; rejoice,0955a,"10649,02",30,9,U+559C
狶,狶,xǐ,xi3,xi,3,xj+jX,x-,-j+j,shang,xjɨj²,*qʰəjʔ,swine,0549e,"21349,13",94,7,U+72F6
豨,豨,xǐ,xi3,xi,3,xj+jX,x-,-j+j,shang,xjɨj²,*qʰəjʔ,swine,0549f,"63615,09",152,7,U+8C68
系,系,xì,xi4,xi,4,hejH,h-,-ej,qu,ɣej³,*[m]-kˤek-s,bind (v.),0876a,"53361,02",120,1,U+7CFB
繫,繫,xì,xi4,xi,4,hejH,h-,-ej,qu,ɣej³,*m-kˤek-s,attach; suspend,0854d,"53456,15",120,13,U+7E6B
係,係,xì,xi4,xi,4,kejH,k-,-ej,qu,kej³,*kˤek-s,tie (v.),0876c,"10164,08",9,7,U+4FC2
綌,綌,xì,xi4,xi,4,khjaek,kh-,-jaek,ru,kʰjæk⁴,*[k]ʰrak,coarse kudzu cloth,0776d,"53405,16",120,7,U+7D8C
郤,郤,xì,xi4,xi,4,khjaek,kh-,-jaek,ru,kʰjæk⁴,*[k]ʰrak,(place and family name),0776e,"63774,1",163,7,U+90E4
𡭴,𡭴,xì,xi4,xi,4,khjaek,kh-,-jaek,ru,kʰjæk⁴,*[k]ʰrak,crevice,0787a,"10564,13",42,7,U+21B74
隙,隙,xì,xi4,xi,4,khjaek,kh-,-jaek,ru,kʰjæk⁴,*[k]ʰrak,crack (n.),0787c,"64150,11",170,10,U+9699
細,细,xì,xi4,xi,4,sejH,s-,-ej,qu,sej³,*[s]ˤe(k)-s,"small, minute",1241l,"53380,05",120,5,U+7D30
潟,潟,xì,xi4,xi,4,sjek,s-,-jek,ru,sjek⁴,*s-qʰAk,salty soil,0799e,"31743,09",85,12,U+6F5F
舄,舄,xì,xi4,xi,4,sjek,s-,-jek,ru,sjek⁴,*s.qʰAk,"slipper, shoe",0799a,"53039,18",134,6,U+8204
舄,舄,xì,xi4,xi,4,tshjak,tsh-,-jak,ru,ʦʰjak⁴,"*s.qʰak (dialect: *s.qʰ> MC tsh-, *-ak > -jak)","slipper, shoe",0799a,"53039,18",134,6,U+8204
鬩,鬩,xì,xi4,xi,4,xek,x-,-ek,ru,xek⁴,*[ŋ̊]ˤek,wrangle,0873q,"74516,04",191,8,U+9B29
塈,塈,xì,xi4,xi,4,xijH,x-,-ij,qu,xij³,*qʰ(<r>)ə[t]-s,to plaster,0515h,"10468,04",32,9,U+5848
塈,塈,xì,xi4,xi,4,xijH,x-,-ij,qu,xij³,*qʰ(r)ə[t]-s,collect (v.),0515h,"10468,04",32,9,U+5848
塈,塈,xì,xi4,xi,4,xijH,x-,-ij,qu,xij³,*qʰ<r>əp-s,rest (v.),0515h,"10468,04",32,9,U+5848
翕,翕,xì,xi4,xi,4,xip,x-,-ip,ru,xip⁴,*qʰ(r)[ə]p,"united, harmonious",0675q,"53347,2",124,6,U+7FD5
翕,翕,xì,xi4,xi,4,xip,x-,-ip,ru,xip⁴,*qʰ(r)[ə]p,draw in; inhale,0675q,"53347,2",124,6,U+7FD5
塈,塈,xì,xi4,xi,4,xj+jH,x-,-j+j,qu,xjɨj³,*qʰ(<r>)ə[t]-s,plaster (v.),0515h,"10468,04",32,9,U+5848
餼,饩,xì,xi4,xi,4,xj+jH,x-,-j+j,qu,xjɨj³,*qʰ(r)ə[t]-s,gift of animals or grain,0517e,"74467,18",184,10,U+993C
塈,塈,xì,xi4,xi,4,xj+jH,x-,-j+j,qu,xjɨj³,*qʰə[t]-s,rest (v.),0515h,"10468,04",32,9,U+5848
氣,气,xì,xi4,xi,4,xj+jH,x-,-j+j,qu,xjɨj³,*qʰət-s,to present food,0517c,"32011,14",84,6,U+6C23
虩,虩,xì,xi4,xi,4,xjaek,x-,-jaek,ru,xjæk⁴,*qʰrak,fear,0787d,"42830,09",141,12,U+8669
戲,戏,xì,xi4,xi,4,xjeH,x-,-je,qu,xje³,*ŋ̊(r)ar-s,"sport, joke",0022b,"21413,13",62,13,U+6232
蝦,虾,xiā,xia1,xia,1,hae,h-,-ae,ping,ɣæ¹,*[g]ˤra,shrimp,0033i,"42874,03",142,9,U+8766
瑕,瑕,xiá,xia2,xia,2,hae,h-,-ae,ping,ɣæ¹,*[g]ˤra,"flaw, blemish",0033h,"21128,14",96,9,U+7455
遐,遐,xiá,xia2,xia,2,hae,h-,-ae,ping,ɣæ¹,*[g]ˤra,distant,0033j,"63867,04",162,9,U+9050
騢,騢,xiá,xia2,xia,2,hae,h-,-ae,ping,ɣæ¹,*[g]ˤra,horse of mixed red and white color,0033l,"74567,04",187,9,U+9A22
匣,匣,xiá,xia2,xia,2,haep,h-,-aep,ru,ɣæp⁴,*[g]ˤr[a]p,box,0629e,"10084,11",22,5,U+5323
柙,柙,xiá,xia2,xia,2,haep,h-,-aep,ru,ɣæp⁴,*[g]ˤr[a]p,cage; box,0629f,"21182,03",75,5,U+67D9
狎,狎,xiá,xia2,xia,2,haep,h-,-aep,ru,ɣæp⁴,*[g]ˤr[a]p,disrespectful,0629g,"21339,1",94,5,U+72CE
舝,舝,xiá,xia2,xia,2,haet,h-,-aet,ru,ɣæt⁴,*[g]ˤrat,wheel-axle cap with linch-pin,0282a,"10058,05",136,7,U+821D
轄,辖,xiá,xia2,xia,2,haet,h-,-aet,ru,ɣæt⁴,*[g]ˤrat,wheel-axle cap with linch-pin,0314f,"53551,01",159,10,U+8F44
峽,峡,xiá,xia2,xia,2,heap,h-,-eap,ru,ɣɛp⁴,*N-kˤ<r>ep,mountain pass (not in GSR),0630-,"10773,05",46,7,U+5CFD
狹,狭,xiá,xia2,xia,2,heap,h-,-eap,ru,ɣɛp⁴,*N-kˤ<r>ep,narrow,0630e,"21348,04",94,7,U+72F9
黠,黠,xiá,xia2,xia,2,heat,h-,-eat,ru,ɣɛt⁴,*[g]ˤri[t],shrewd,0393v,"74748,04",203,6,U+9EE0
廈,厦,xià,xia4,xia,4,haeX,h-,-ae,shang,ɣæ²,*[g]ˤraʔ,"house, room",0036c,"20894,18",53,10,U+5EC8
厦,厦,xià,xia4,xia,4,haeX,h-,-ae,shang,ɣæ²,*[g]ˤraʔ,"house, room",0036d,"10075,25",27,10,U+53A6
夏,夏,xià,xia4,xia,4,haeX,h-,-ae,shang,ɣæ²,*[ɢ]ˤraʔ,great,0036a,"20869,1",35,7,U+590F
下,下,xià,xia4,xia,4,haeX,h-,-ae,shang,ɣæ²,*gˤraʔ,down,0035a,"10007,01",1,2,U+4E0B
暇,暇,xià,xia4,xia,4,haeH,h-,-ae,qu,ɣæ³,*[g]ˤra-s,leisure,0033g,"21527,02",72,9,U+6687
芐,芐,xià,xia4,xia,4,haeH,h-,-ae,qu,ɣæ³,*[g]ˤra-s,"rush, sedge",0035d,"53174,1",140,3,U+8290
夏,夏,xià,xia4,xia,4,haeH,h-,-ae,qu,ɣæ³,*[g]ˤraʔ (~ *[g]ˤraʔ-s),summer,0036a,"20869,1",35,7,U+590F
下,下,xià,xia4,xia,4,haeH,h-,-ae,qu,ɣæ³,*m-gˤraʔ-s,descend,0035a,"10007,01",1,2,U+4E0B
嚇,吓,xià,xia4,xia,4,xaeH,x-,-ae,qu,xæ³,*qʰˤ<r>ak-s,frighten,0779b,"10695,1",30,14,U+5687
蹮,蹮,xiān,xian1,xian,1,sen,s-,-en,ping,sen¹,*sˤe[r],蹁蹮 walk with difficulty (Shuōwén),0206-,"63738,05",157,11,U+8E6E
先,先,xiān,xian1,xian,1,sen,s-,-en,ping,sen¹,*sˤər,first,0478a,"10267,02",10,4,U+5148
譣,譣,xiān,xian1,xian,1,sjem,s-,-jem,ping,sjem¹,*s.qʰ[a]m,"insincere, ingratiating",0613c,"64025,05",149,13,U+8B63
鮮,鲜,xiān,xian1,xian,1,sjen,s-,-jen,ping,sjen¹,*[s][a]r,fresh; good,0209a,"74688,06",195,6,U+9BAE
仙,仙,xiān,xian1,xian,1,sjen,s-,-jen,ping,sjen¹,*[s]a[r],immortal (n.),0193f,"10114,03",9,3,U+4ED9
僊,僊,xiān,xian1,xian,1,sjen,s-,-jen,ping,sjen¹,*[s]a[r],immortal,0206b,"10209,02",9,11,U+50CA
鮮,鲜,xiān,xian1,xian,1,sjen,s-,-jen,ping,sjen¹,*s[a]r,鮮卑 *s[a]r.pe Xiānbēi,0209a,"74688,06",195,6,U+9BAE
天,天,xiān,xian1,xian,1,xen,x-,-en,ping,xen¹,*l̥ˤi[n] (W dialect: l̥ˤ- > Hàn-time *xˤ- > MC x-),heaven,0361a,"10522,01",37,1,U+5929
銜,衔,xián,xian2,xian,2,haem,h-,-aem,ping,ɣæm¹,*[g]ˤr[a]m,a bit,0608a,"20840,15",167,6,U+929C
鹹,鹹,xián,xian2,xian,2,heam,h-,-eam,ping,ɣɛm¹,*Cə.[g]ˤr[o]m,salty,0671f,"74610,19",197,9,U+9E79
咸,咸,xián,xian2,xian,2,heam,h-,-eam,ping,ɣɛm¹,*[g]ˤr[ə]m,all; everywhere,0671a,"21404,02",30,6,U+54B8
間,间,xián,xian2,xian,2,hean,h-,-ean,ping,ɣɛn¹,*N-kˤre[n],idle,0191b,"74288,06",169,4,U+9593
閑,闲,xián,xian2,xian,2,hean,h-,-ean,ping,ɣɛn¹,*N-kˤre[n],idle,0192a,"74287,03",169,4,U+9591
閑,闲,xián,xian2,xian,2,hean,h-,-ean,ping,ɣɛn¹,*[g]ˤra[n],great; large-minded,0192a,"74287,03",169,4,U+9591
閑,闲,xián,xian2,xian,2,hean,h-,-ean,ping,ɣɛn¹,*[g]ˤra[n],well-trained,0192a,"74287,03",169,4,U+9591
閑,闲,xián,xian2,xian,2,hean,h-,-ean,ping,ɣɛn¹,*[g]ˤra[n],"bar, barrier",0192a,"74287,03",169,4,U+9591
瞷,瞷,xián,xian2,xian,2,hean,h-,-ean,ping,ɣɛn¹,*m-[k]ˤ<r>en,"spy on, watch",0191h,"42515,05",109,12,U+77B7
嫌,嫌,xián,xian2,xian,2,hem,h-,-em,ping,ɣem¹,*N-kˤem,"doubt, doubtful",0627j,"21073,08",38,10,U+5ACC
賢,贤,xián,xian2,xian,2,hen,h-,-en,ping,ɣen¹,*[g]ˤi[n],worthy,0368e,"63646,06",154,8,U+8CE2
弦,弦,xián,xian2,xian,2,hen,h-,-en,ping,ɣen¹,*[ɢ]ˤi[n],string of bow or instrument,0366f,"20993,07",57,5,U+5F26
㳄,㳄,xián,xian2,xian,2,zjen,z-,-jen,ping,zjen¹,*s-N-qa[r],saliva (from envy?),0207-,"31570,03",85,4,U+3CC4
㳄,㳄,xián,xian2,xian,2,zjen,z-,-jen,ping,zjen¹,*s-N-qa[r],spittle,0207-,"31570,03",85,4,U+3CC4
姺,姺,xiǎn,xian3,xian,3,sejX,s-,-ej,shang,sej²,*[s]ˤərʔ,(place name),0478i,"21044,14",38,6,U+59FA
洗,洗,xiǎn,xian3,xian,3,senX,s-,-en,shang,sen²,*sˤərʔ,wash,0478j,"31608,08",85,6,U+6D17
鮮,鲜,xiǎn,xian3,xian,3,sjenX,s-,-jen,shang,sjen²,*[s][e]rʔ,"rare, few",0209a,"74688,06",195,6,U+9BAE
𤣔,𤣔,xiǎn,xian3,xian,3,sjenX,s-,-jen,shang,sjen²,*s.[n]e[r]ʔ,autumnal hunt,0359k,"21378,12",94,18,U+248D4
獮,獮,xiǎn,xian3,xian,3,sjenX,s-,-jen,shang,sjen²,*s.[n]e[r]ʔ,autumnal hunt,0359l,"21374,02",94,14,U+736E
顯,显,xiǎn,xian3,xian,3,xenX,x-,-en,shang,xen²,*qʰˤenʔ,"display, manifest",0242a,"74395,06",181,14,U+986F
險,险,xiǎn,xian3,xian,3,xjaemX,x-,-jaem,shang,xjæm²,*qʰr[a]mʔ,"precipitous, dangerous",0613f,"64160,08",170,13,U+96AA
險,险,xiǎn,xian3,xian,3,xjemX,x-,-jem,shang,xjem²,*qʰr[a]mʔ,"precipitous, dangerous",0613f,"64160,08",170,13,U+96AA
臽,臽,xiàn,xian4,xian,4,heamH,h-,-eam,qu,ɣɛm³,*[ɢ]ˤromʔ-s,small pit,0672a,"53037,06",134,2,U+81FD
陷,陷,xiàn,xian4,xian,4,heamH,h-,-eam,qu,ɣɛm³,*[ɢ]ˤromʔ-s,fall into a pit,0672c,"64140,01",170,8,U+9677
限,限,xiàn,xian4,xian,4,heanX,h-,-ean,shang,ɣɛn²,*[g]ˤrə[n]ʔ,"obstacle, limit",0416i,"64128,06",170,6,U+9650
俔,俔,xiàn,xian4,xian,4,henX,h-,-en,shang,ɣen²,*N-[k]ˤenʔ,to be like,0241f,"10161,01",9,7,U+4FD4
見,见,xiàn,xian4,xian,4,henH,h-,-en,qu,ɣen³,*N-[k]ˤen-s,appear,0241a,"63663,01",147,0,U+898B
現,现,xiàn,xian4,xian,4,henH,h-,-en,qu,ɣen³,*N-[k]ˤen-s,appear,0241e,"21116,03",96,7,U+73FE
見,见,xiàn,xian4,xian,4,henH,h-,-en,qu,ɣen³,*m-[k]ˤen-s,"cause to appear, introduce",0241a,"63663,01",147,0,U+898B
縣,县,xiàn,xian4,xian,4,hwenH,h-,-wen,qu,ɣwen³,*Cə.[g]ʷˤe[n]-s,district,0248a,"53435,11",120,10,U+7E23
獻,献,xiàn,xian4,xian,4,sa,s-,-a,ping,sa¹,*s-ŋˤar,to filter wine,0252e,"21376,09",94,16,U+737B
霰,霰,xiàn,xian4,xian,4,senH,s-,-en,qu,sen³,*sˤ[e]r-s,sleet,0156d,"64076,14",173,12,U+9730
𩆵,𩆵,xiàn,xian4,xian,4,senH,s-,-en,qu,sen³,*sˤ[e]r-s,sleet,0209-,"64084,11",173,17,U+291B5
先,先,xiàn,xian4,xian,4,senH,s-,-en,qu,sen³,*sˤər-s,go first,0478a,"10267,02",10,4,U+5148
憲,宪,xiàn,xian4,xian,4,xjonH,x-,-jon,qu,xjon³,*qʰar (~ *qʰar-s),law; model; rule,0250a,"42351,09",61,12,U+61B2
獻,献,xiàn,xian4,xian,4,xjonH,x-,-jon,qu,xjon³,*ŋ̊ar-s,"offer, present",0252e,"21376,09",94,16,U+737B
羨,羡,xiàn,xian4,xian,4,zjenH,z-,-jen,qu,zjen³,*s-N-qa[r]-s,"covet, desire",0207a,"53134,1",123,7,U+7FA8
羨,羡,xiàn,xian4,xian,4,zjenH,z-,-jen,qu,zjen³,*s-[ɢ]a[n]-s,"surplus, affluence",0207a,"53134,1",123,7,U+7FA8
箱,箱,xiāng,xiang1,xiang,1,sjang,s-,-jang,ping,sjaŋ¹,*C.[s]aŋ,box (of a carriage),0731f,"52989,07",118,9,U+7BB1
相,相,xiāng,xiang1,xiang,1,sjang,s-,-jang,ping,sjaŋ¹,*[s]aŋ,mutually,0731a,"42470,13",109,4,U+76F8
襄,襄,xiāng,xiang1,xiang,1,sjang,s-,-jang,ping,sjaŋ¹,*s-naŋ,remove,0730a,"53109,12",145,11,U+8944
襄,襄,xiāng,xiang1,xiang,1,sjang,s-,-jang,ping,sjaŋ¹,*s-naŋ,Xiāng (personal name),0730a,"53109,12",145,11,U+8944
纕,纕,xiāng,xiang1,xiang,1,sjang,s-,-jang,ping,sjaŋ¹,*s-naŋ,"belt, sash; girth",0730b,"53470,03",120,17,U+7E95
膷,膷,xiāng,xiang1,xiang,1,xjang,x-,-jang,ping,xjaŋ¹,*[qʰ]aŋ,beef soup,0714l,"32109,07",130,13,U+81B7
皀,皀,xiāng,xiang1,xiang,1,xjang,x-,-jang,ping,xjaŋ¹,*qʰaŋ,fragrance,0714a,"42644,06",106,2,U+7680
鄉,乡,xiāng,xiang1,xiang,1,xjang,x-,-jang,ping,xjaŋ¹,*qʰaŋ,village; district,0714c,"63786,04",163,9,U+9109
